Id,MeasurementTime,SensorName,SensorDescription,SensorDetails,Type,Units,CurrentValue,Lat,Long
13431115,2020-06-10T05:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.442060291614,-31.64478,152.82822
13431116,2020-06-10T05:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.610809884,-31.64478,152.82822
13431117,2020-06-10T05:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4553,-31.64478,152.82822
13431118,2020-06-10T05:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.392929707087,-31.64478,152.82822
13431119,2020-06-10T05:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.62202676,-31.64478,152.82822
13431120,2020-06-10T05:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4284,-31.64478,152.82822
13431121,2020-06-10T05:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.546852110963,-31.64478,152.82822
13431122,2020-06-10T05:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.639361932,-31.64478,152.82822
13431123,2020-06-10T05:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4483,-31.64478,152.82822
13431124,2020-06-10T05:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.650578808,-31.64478,152.82822
13431125,2020-06-10T05:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.465168746504,-31.64478,152.82822
13431126,2020-06-10T05:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4352,-31.64478,152.82822
13431127,2020-06-10T05:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.538914859066,-31.64478,152.82822
13431128,2020-06-10T05:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.666894264,-31.64478,152.82822
13431129,2020-06-10T05:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4483,-31.64478,152.82822
13431130,2020-06-10T05:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.506864436849,-31.64478,152.82822
13431131,2020-06-10T05:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.679130856,-31.64478,152.82822
13431132,2020-06-10T05:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.31353,-31.64478,152.82822
13431133,2020-06-10T05:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4472,-31.64478,152.82822
13431134,2020-06-10T04:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.690347732,-31.64478,152.82822
13431135,2020-06-10T04:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.335058098319,-31.64478,152.82822
13431136,2020-06-10T04:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4399,-31.64478,152.82822
13431137,2020-06-10T04:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.70870262,-31.64478,152.82822
13431138,2020-06-10T04:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.399560828925,-31.64478,152.82822
13431139,2020-06-10T04:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.4314,-31.64478,152.82822
13431140,2020-06-10T04:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.72399836,-31.64478,152.82822
13431141,2020-06-10T04:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.441356990813,-31.64478,152.82822
13431142,2020-06-10T04:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.735215236,-31.64478,152.82822
13431143,2020-06-10T04:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.45,-31.64478,152.82822
13431144,2020-06-10T04:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.541125233012004,-31.64478,152.82822
13431145,2020-06-10T04:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.74439268,-31.64478,152.82822
13431146,2020-06-10T04:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3915,-31.64478,152.82822
13431147,2020-06-10T04:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.662494856956,-31.64478,152.82822
13431148,2020-06-10T04:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3852,-31.64478,152.82822
13431149,2020-06-10T05:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.599,-31.64478,152.82822
13431440,2020-06-10T06:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3752,-31.64478,152.82822
13431441,2020-06-10T06:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.532291752,-31.64478,152.82822
13431442,2020-06-10T06:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.30201,-31.64478,152.82822
13431443,2020-06-10T06:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.408402324709,-31.64478,152.82822
13431444,2020-06-10T06:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.522,-31.64478,152.82822
13431729,2020-06-10T07:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3174,-31.64478,152.82822
13431730,2020-06-10T07:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.475187656,-31.64478,152.82822
13431731,2020-06-10T07:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.3075,-31.64478,152.82822
13431732,2020-06-10T07:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3288,-31.64478,152.82822
